team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Washington,Philadelphia,11/6/23 7:08,110.622,117.452,228.074,0.315,0.685,128,146,274,Philadelphia,Philadelphia,Win,228.5,Under,Loss,,
Boston,Philadelphia,11/8/23 11:15,114.544,113.711,228.255,0.523,0.477,103,106,209,Boston,Philadelphia,Loss,228,Over,Loss,,
Golden State,Denver,11/8/23 11:15,112.744,114.817,227.561,0.441,0.559,105,108,213,Denver,Denver,Win,228,Under,Win,,
Cleveland,Okla City,11/8/23 11:15,112.788,112.682,225.47,0.502,0.498,120,128,248,Cleveland,Okla City,Loss,229.5,Under,Loss,,
Phoenix,Chicago,11/8/23 11:15,112.725,110.874,223.599,0.552,0.448,116,115,231,Phoenix,Phoenix,Win,221,Over,Win,,
LA Lakers,Houston,11/8/23 11:15,113.7,112.651,226.351,0.529,0.471,94,128,222,LA Lakers,Houston,Loss,218.5,Over,Win,,
Toronto,Dallas,11/8/23 11:15,112.006,113.328,225.333,0.463,0.537,127,116,243,Dallas,Toronto,Loss,224.5,Over,Win,,
Miami,Memphis,11/8/23 11:15,111.063,111.17,222.234,0.496,0.504,108,102,210,Memphis,Miami,Loss,218.5,Over,Loss,,
New Orleans,Minnesota,11/8/23 11:15,110.061,112.999,223.06,0.417,0.583,101,122,223,Minnesota,Minnesota,Win,219,Over,Win,,
Portland,Sacramento,11/8/23 11:15,112.755,114.446,227.201,0.453,0.547,118,121,239,Sacramento,Sacramento,Win,220.5,Over,Win,,
Detroit,Milwaukee,11/8/23 11:15,113.272,116.274,229.545,0.416,0.584,118,120,238,Milwaukee,Milwaukee,Win,227,Over,Win,,
San Antonio,New York,11/8/23 11:15,110.322,116.626,226.948,0.328,0.672,105,126,231,New York,New York,Win,223.5,Over,Win,,
Utah,Indiana,11/8/23 11:15,117.485,119.822,237.307,0.435,0.565,118,134,252,Indiana,Indiana,Win,244,Under,Loss,,
Washington,Charlotte,11/8/23 11:15,117.306,117.534,234.839,0.495,0.505,132,116,248,Charlotte,Washington,Loss,241,Under,Loss,,
Milwaukee,Indiana,11/9/23 11:24,118.713,118.879,237.592,0.495,0.505,124,126,250,Indiana,Indiana,Win,243.5,Under,Loss,,
Atlanta,Orlando,11/9/23 11:24,114.782,113.664,228.446,0.532,0.468,120,119,239,Atlanta,Atlanta,Win,232.5,Under,Loss,,
Charlotte,Washington,11/10/23 10:05,117.098,118.184,235.282,0.47,0.53,124,117,241,Washington,Charlotte,Loss,241.5,Under,Win,,
Philadelphia,Detroit,11/10/23 10:05,116.3,109.573,225.872,0.683,0.317,114,106,220,Philadelphia,Philadelphia,Win,221.5,Over,Loss,,
Brooklyn,Boston,11/10/23 10:05,111.806,116.045,227.851,0.382,0.618,107,121,228,Boston,Boston,Win,226,Over,Win,,
New Orleans,Houston,11/10/23 10:05,111.998,112.794,224.792,0.477,0.523,101,104,205,Houston,Houston,Win,217.5,Over,Loss,,
Utah,Memphis,11/10/23 10:05,114.123,115.755,229.878,0.454,0.546,127,121,248,Memphis,Utah,Loss,229.5,Over,Win,,
Minnesota,San Antonio,11/10/23 10:05,118.82,110.697,229.518,0.717,0.283,117,110,227,Minnesota,Minnesota,Win,225.5,Over,Win,,
LA Lakers,Phoenix,11/10/23 10:05,112.124,114.467,226.591,0.434,0.566,122,119,241,Phoenix,LA Lakers,Loss,222.5,Over,Win,,
Okla City,Sacramento,11/10/23 10:05,117.499,116.449,233.948,0.529,0.471,98,105,203,Okla City,Sacramento,Loss,224.5,Over,Loss,,
Milwaukee,Orlando,11/11/23 11:36,114.024,113.829,227.853,0.505,0.495,97,112,209,Milwaukee,Orlando,Loss,232,Under,Win,,
Toronto,Boston,11/11/23 11:36,110.422,114.215,224.638,0.394,0.606,94,117,211,Boston,Boston,Win,222,Over,Loss,,
Miami,Atlanta,11/11/23 11:36,112.854,114.656,227.51,0.45,0.55,117,109,226,Atlanta,Miami,Loss,229,Under,Win,,
Cleveland,Golden State,11/11/23 11:36,111.612,112.843,224.454,0.466,0.534,118,110,228,Golden State,Cleveland,Loss,223.5,Over,Win,,
Charlotte,New York,11/12/23 11:15,110.595,115.108,225.703,0.375,0.625,107,129,236,New York,New York,Win,225.5,Over,Win,,
Washington,Brooklyn,11/12/23 11:15,114.919,116.872,231.791,0.445,0.555,94,102,196,Brooklyn,Brooklyn,Win,234.5,Under,Win,,
